Date,Country,Status,AQI Value
20-07-2023,Sweden,Good,21
20-07-2023,Switzerland,Good,24
20-07-2023,Taiwan,Moderate,69
20-07-2023,Tajikistan,Moderate,81
20-07-2023,Thailand,Unhealthy for Sensitive Groups,102
20-07-2023,Togo,Moderate,72
20-07-2023,Trinidad and Tobago,Good,23
20-07-2023,Turkey,Moderate,94
20-07-2023,Uganda,Unhealthy,161
20-07-2023,Ukraine,Moderate,57
20-07-2023,United Arab Emirates,Moderate,99
20-07-2023,United Kingdom of Great Britain and Northern Ireland,Good,38
20-07-2023,United States of America,Moderate,98
20-07-2023,Uzbekistan,Moderate,77
20-07-2023,Vatican,Moderate,63
20-07-2023,Venezuela,Good,5
20-07-2023,Vietnam,Moderate,96
20-07-2023,Zambia,Unhealthy for Sensitive Groups,108
27-07-2023,Albania,Good,14
27-07-2023,Algeria,Good,23
27-07-2023,Andorra,Good,11
27-07-2023,Angola,Unhealthy for Sensitive Groups,145
27-07-2023,Argentina,Good,36
27-07-2023,Armenia,Moderate,54
27-07-2023,Australia,Moderate,56
27-07-2023,Austria,Good,18
27-07-2023,Azerbaijan,Good,44
27-07-2023,Bangladesh,Unhealthy for Sensitive Groups,102
27-07-2023,Belarus,Good,21
27-07-2023,Belgium,Good,20
27-07-2023,Belize,Good,36
27-07-2023,Bermuda,Good,18
27-07-2023,Bolivia,Moderate,90
27-07-2023,Bosnia and Herzegovina,Moderate,60
27-07-2023,Brazil,Unhealthy for Sensitive Groups,148
27-07-2023,Brunei,Good,32
